25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
"100,00","99,00","98,70","98,10","94,90","90,60","56,00","22,00","32,20",1395,"16,80"
"100,00","98,60","97,50","96,30","92,90","87,40","51,00","19,00","31,90",1369,"15,80"
"100,00","98,00","97,60","97,00","94,00","90,10","58,00","24,00","33,10",1352,"17,10"
"100,00","100,00","100,00","99,70","97,30","92,40","66,00","26,00","32,90",1397,"18,00"
"100,00","99,60","99,40","98,80","97,10","92,40","61,00","29,00","29,00",1524,"22,00"
"100,00","99,40","98,80","98,10","96,00","92,30","61,00","27,00","32,60",1365,"18,10"
"100,00","96,30","93,80","91,80","87,00","79,30","54,00","23,00","28,70",1441,"18,10"
"100,00","100,00","99,90","99,50","97,10","93,00","60,00","28,00","31,60",1394,"17,40"
"100,00","100,00","99,90","99,50","97,10","93,00","61,00","27,00","31,90",1424,"21,70"
"100,00","100,00","99,60","97,80","95,40","84,10","52,40","11,10","29,00",1423,"10,30"
"100,00","100,00","100,00","99,80","97,10","95,10","60,60","14,60","35,60",1349,"9,40"
"100,00","100,00","96,30","93,80","90,20","88,20","56,40","9,20","32,70",1385,"10,30"
"100,00","100,00","97,90","96,30","90,80","86,70","54,10","7,40","31,20",1404,"9,20"
"100,00","100,00","99,90","99,40","96,00","93,40","61,40","11,10","33,40",1327,"11,80"
"100,00","100,00","96,80","93,10","91,60","84,80","55,30","9,40","29,60",1437,"7,50"
"100,00","100,00","99,30","97,40","92,80","89,40","58,20","9,90","32,10",1345,"9,10"
"100,00","99,20","98,90","96,20","90,30","86,70","58,30","12,20","33,10",1339,"10,90"
"100,00","100,00","98,20","96,10","91,30","88,90","54,90","11,90","30,90",1354,"8,20"
"100,00","100,00","97,30","94,70","91,10","89,20","57,00","11,70","31,40",1398,"8,70"
"100,00","100,00","98,30","96,30","91,20","87,90","58,90","13,50","32,00",1372,"9,20"
"100,00","98,90","97,10","95,80","90,20","85,10","52,20","10,40","28,70",1415,"11,30"
"100,00","99,80","96,10","90,50","88,50","87,50","41,30","5,90","30,60",1409,"7,20"
"100,00","100,00","99,60","97,60","95,80","91,90","50,40","10,50","32,60",1390,"9,80"
"100,00","99,20","98,90","96,80","93,40","89,70","47,30","10,90","29,80",1432,"9,00"
"100,00","100,00","99,60","98,10","95,40","91,00","51,20","12,00","31,50",1383,"10,20"
"100,00","99,30","98,10","96,50","92,20","86,40","46,60","9,90","28,60",1431,"7,80"
"100,00","98,70","97,40","96,00","94,10","88,20","44,00","8,90","29,40",1466,"8,90"
"100,00","98,90","96,30","94,20","89,50","79,80","42,80","9,40","26,90",1506,"6,30"
"100,00","99,80","98,00","95,70","92,60","87,80","48,60","10,10","30,60",1454,"8,20"
"100,00","94,50","92,90","91,90","84,70","78,20","39,70","8,40","24,90",1529,"6,80"
"100,00","98,60","95,60","91,90","88,30","76,50","41,60","9,70","27,60",1499,"6,50"
"100,00","99,20","96,40","94,70","91,80","87,50","48,20","9,90","29,10",1419,"8,50"
"100,00","97,00","95,20","93,30","92,10","89,30","45,10","7,90","30,20",1473,"7,90"
"100,00","98,20","97,50","91,80","88,10","80,20","42,10","9,30","27,30",1512,"7,10"
"100,00","99,10","98,30","93,90","90,10","88,20","51,40","11,20","32,10",1398,"9,60"
"100,00","99,90","99,00","96,40","90,90","84,40","39,90","4,10","28,70",1430,"9,80"
"100,00","98,60","97,10","93,90","90,40","85,90","47,30","10,50","29,60",1489,"7,20"
"100,00","98,90","97,60","95,40","92,70","90,40","50,50","11,40","33,10",1361,"7,50"
"100,00","99,40","97,90","96,20","91,30","86,40","52,60","12,10","32,20",1385,"8,80"
"100,00","97,50","96,20","91,90","87,40","82,60","54,10","12,20","33,80",1343,"10,60"
"100,00","98,10","97,30","95,50","90,30","85,80","49,60","10,20","32,10",1404,"8,30"
"100,00","100,00","98,50","95,10","90,80","86,30","52,30","12,60","29,60",1428,"7,80"
"100,00","98,20","96,40","91,10","85,10","79,50","48,60","8,90","26,80",1502,"6,80"
"100,00","99,40","97,60","94,10","89,70","83,40","47,80","7,50","28,90",1485,"9,60"
"100,00","100,00","99,00","97,50","94,50","89,10","51,80","12,90","30,40",1411,"10,80"
"100,00","100,00","99,80","97,10","96,40","92,90","59,40","14,10","31,50",1387,"9,20"
"100,00","100,00","100,00","98,90","95,40","90,30","51,80","12,30","32,10",1359,"9,90"
"100,00","100,00","98,80","97,60","93,90","88,50","53,60","12,70","30,20",1465,"8,60"
"100,00","100,00","100,00","99,80","98,40","97,30","57,90","15,10","31,50",1362,"8,10"
"100,00","100,00","99,40","98,90","97,60","93,80","59,60","11,30","30,80",1393,"9,80"
"100,00","100,00","99,40","97,20","93,10","89,80","50,20","12,60","28,90",1472,"8,30"
"100,00","100,00","100,00","98,50","96,10","92,40","53,30","13,80","32,10",1381,"10,10"
"100,00","100,00","99,20","96,50","94,30","87,80","46,60","7,50","28,90",1463,"7,60"
"100,00","100,00","98,60","97,40","96,20","91,50","50,80","10,50","30,60",1416,"8,80"
"100,00","100,00","100,00","99,70","97,30","92,40","66,00","26,00","32,90",1397,"18,00"
"100,00","99,60","99,40","98,80","97,10","92,40","61,00","29,00","29,00",1524,"22,00"
