No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR,coluna_13
145,100.0,100.0,99.0,95.1,87.0,64.9,38.0,17.0,18.14,1570.0,8.45,
146,100.0,100.0,99.5,97.0,86.0,61.3,42.0,17.0,17.8,1618.0,9.13,
147,97.9,80.5,60.5,45.0,40.0,25.5,35.0,13.0,8.8,1947.0,16.64,
148,93.9,79.4,70.5,63.5,52.7,35.2,38.0,13.0,15.4,1849.0,13.81,
149,100.0,99.6,98.9,97.5,85.7,59.1,43.0,19.0,25.3,1510.0,7.32,
150,100.0,100.0,100.0,97.0,81.3,55.7,42.0,16.0,16.2,1543.0,6.14,
151,100.0,100.0,98.8,96.2,83.6,56.8,43.0,14.0,17.7,1640.0,7.09,
152,98.4,89.9,77.2,68.7,56.6,43.0,40.0,16.0,16.4,1690.0,8.28,
153,100.0,100.0,100.0,98.0,87.7,65.1,41.0,17.0,21.1,1409.0,6.93,
154,96.5,86.3,74.9,63.9,49.6,34.3,42.0,16.0,15.5,1803.0,13.57,
155,97.9,82.5,60.2,45.9,34.5,21.7,37.0,15.0,14.1,1855.0,19.31,
156,100.0,100.0,99.1,98.0,89.4,63.0,42.0,16.0,22.5,1510.0,11.14,
157,100.0,97.3,91.2,83.9,70.9,39.9,38.0,15.0,14.7,1740.0,13.27,
158,100.0,99.8,99.4,98.0,76.8,49.5,42.0,17.0,24.4,1564.0,11.18,
159,100.0,100.0,99.8,98.3,74.2,46.2,39.0,16.0,22.9,1588.0,9.54,
160,98.7,86.5,67.3,48.0,38.8,29.7,34.0,13.0,13.8,1873.0,15.09,
161,100.0,100.0,100.0,97.7,92.6,72.3,37.4,15.1,18.9,1707.0,13.9,
162,100.0,100.0,98.3,92.0,81.7,68.2,39.0,16.2,19.0,1565.0,12.1,
163,93.2,78.1,55.8,44.4,35.5,20.2,30.0,12.0,12.9,1889.0,28.3,
164,94.4,83.8,71.4,58.5,41.9,21.7,35.0,12.0,11.8,1824.0,18.42,
165,100.0,94.9,88.3,80.5,67.7,47.5,46.0,18.0,14.3,1713.0,7.63,
166,100.0,100.0,100.0,98.1,92.9,77.1,43.0,16.0,19.3,1519.0,8.02,
167,100.0,98.1,96.9,96.0,93.1,88.9,55.0,23.0,31.3,1437.0,16.6,
168,100.0,100.0,100.0,99.9,98.3,94.9,61.0,24.0,33.9,1375.0,18.4,
169,100.0,95.0,92.5,90.8,83.4,74.0,53.0,21.0,30.9,1412.0,14.7,
170,100.0,99.3,99.2,98.7,95.1,87.9,58.0,25.0,32.5,1347.0,14.1,
