ID,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
632,100.0,100.0,99.8,97.8,91.5,43.8,25.0,10.0,16.2,1734.0,10.4
633,100.0,100.0,100.0,99.7,98.8,43.9,41.0,10.0,19.4,1580.0,9.9
634,100.0,100.0,100.0,99.7,98.6,95.5,51.0,23.0,29.1,1460.0,12.0
635,100.0,100.0,99.4,95.7,85.9,65.8,44.0,12.0,22.6,1608.0,16.0
636,100.0,100.0,100.0,99.8,99.1,94.8,59.0,24.0,27.0,1443.0,8.4
637,100.0,100.0,100.0,99.9,98.8,73.2,38.0,16.0,18.6,1614.0,18.4
638,100.0,100.0,99.1,93.8,81.0,38.8,26.0,10.0,16.2,1746.0,9.4
639,100.0,100.0,100.0,99.6,95.2,79.5,51.0,12.0,28.3,1507.0,7.2
640,100.0,100.0,100.0,99.9,98.9,72.0,45.0,15.0,20.8,1586.0,7.3
641,100.0,100.0,100.0,99.5,98.3,77.3,46.0,22.0,25.8,1494.0,12.6
642,100.0,100.0,100.0,99.9,99.7,97.8,54.0,13.0,27.8,1411.0,10.6
643,100.0,100.0,99.9,98.8,95.0,83.5,48.0,18.0,26.9,1465.0,12.3
644,100.0,100.0,100.0,99.9,98.0,91.5,51.0,10.0,26.8,1322.0,7.0
645,100.0,100.0,100.0,99.7,98.2,76.8,45.0,12.0,22.3,1503.0,18.0
646,100.0,100.0,100.0,99.8,98.4,88.4,51.0,12.0,25.2,1402.0,14.6
647,100.0,100.0,100.0,100.0,99.0,92.0,68.0,33.0,29.1,1289.0,6.2
648,100.0,100.0,100.0,99.9,99.9,93.6,52.0,16.0,29.8,1370.0,7.9
649,100.0,100.0,100.0,99.8,98.0,90.1,63.0,14.0,33.2,1288.0,6.7
650,100.0,100.0,99.6,94.6,91.2,86.8,53.0,18.0,29.3,1452.0,17.0
651,100.0,100.0,99.8,99.6,99.6,98.2,57.0,20.0,31.9,1353.0,12.5
652,100.0,100.0,99.2,87.7,54.7,40.3,32.0,5.0,14.6,1690.0,5.1
653,100.0,98.4,93.0,88.0,63.9,51.8,46.0,17.0,18.0,1677.0,11.8
654,100.0,100.0,100.0,99.7,98.5,96.2,63.0,28.0,26.7,1369.0,14.2
655,100.0,100.0,99.7,99.4,99.4,96.0,66.0,21.0,28.5,1286.0,9.9
656,100.0,100.0,99.9,99.2,98.1,95.8,60.0,18.0,32.7,1371.0,13.0
657,100.0,100.0,100.0,99.8,98.9,92.9,53.0,18.0,30.6,1380.0,17.3
658,100.0,100.0,100.0,98.8,93.3,84.0,54.0,15.0,32.9,1408.0,22.2
659,100.0,94.4,81.6,76.7,66.7,59.8,49.0,13.0,17.4,1445.0,2.9
660,100.0,100.0,99.9,99.3,98.0,89.7,49.0,22.0,27.3,1470.0,18.8
661,100.0,99.7,98.4,97.8,96.8,95.0,76.0,24.0,29.3,1364.0,8.3
662,100.0,100.0,99.9,99.5,98.6,96.3,63.0,27.0,34.4,1322.0,14.5
663,100.0,100.0,100.0,99.8,99.0,94.7,70.0,24.0,32.6,1286.0,7.3
664,100.0,100.0,100.0,99.9,99.4,99.2,81.0,28.0,38.0,1225.0,11.5
665,100.0,100.0,100.0,100.0,99.4,95.7,71.0,23.0,36.2,1240.0,14.3
666,100.0,100.0,100.0,99.9,98.6,96.4,76.0,28.0,31.0,1392.0,9.3
667,100.0,100.0,100.0,99.2,97.5,91.8,56.0,16.0,29.1,1384.0,15.7
668,100.0,100.0,98.6,95.2,83.8,67.9,45.0,14.0,27.5,1452.0,11.3
669,100.0,100.0,100.0,99.5,97.8,91.3,54.0,19.0,29.7,1409.0,15.3
670,100.0,100.0,100.0,100.0,99.7,93.9,56.0,20.0,37.0,1316.0,11.1
671,100.0,99.9,99.6,95.2,83.9,70.8,52.0,13.0,28.3,1507.0,7.6
672,100.0,100.0,100.0,100.0,98.0,87.6,52.0,14.0,31.0,1417.0,9.2
673,100.0,100.0,100.0,97.6,91.8,80.4,44.0,11.0,21.4,1586.0,16.9
674,100.0,100.0,100.0,98.2,95.3,87.8,50.0,7.0,27.1,1526.0,29.8
675,100.0,100.0,99.5,96.3,86.0,74.1,48.0,14.0,27.5,1534.0,8.7
676,100.0,100.0,100.0,99.7,97.1,85.7,60.0,27.0,22.2,1584.0,6.1
