ID,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
633,100,100,100,"99,7","98,8","43,9",41,10,"19,4",1580,"9,9"
634,100,100,100,"99,7","98,6","95,5",51,23,"29,1",1460,12
635,100,100,"99,4","95,7","85,9","65,8",44,12,"22,6",1608,16
636,100,100,100,"99,8","99,1","94,8",59,24,27,1443,"8,4"
637,100,100,100,"99,9","98,8","73,2",38,16,"18,6",1614,"18,4"
638,100,100,"99,1","93,8",81,"38,8",26,10,"16,2",1746,"9,4"
639,100,100,100,"99,6","95,2","79,5",51,12,"28,3",1507,"7,2"
640,100,100,100,"99,9","98,9",72,45,15,"20,8",1586,"7,3"
641,100,100,100,"99,5","98,3","77,3",46,22,"25,8",1494,"12,6"
642,100,100,100,"99,9","99,7","97,8",54,13,"27,8",1411,"10,6"
643,100,100,"99,9","98,8",95,"83,5",48,18,"26,9",1465,"12,3"
644,100,100,100,"99,9",98,"91,5",51,10,"26,8",1322,7
645,100,100,100,"99,7","98,2","76,8",45,12,"22,3",1503,18
646,100,100,100,"99,8","98,4","88,4",51,12,"25,2",1402,"14,6"
647,100,100,100,100,99,92,68,33,"29,1",1289,"6,2"
648,100,100,100,"99,9","99,9","93,6",52,16,"29,8",1370,"7,9"
649,100,100,100,"99,8",98,"90,1",63,14,"33,2",1288,"6,7"
650,100,100,"99,6","94,6","91,2","86,8",53,18,"29,3",1452,17
651,100,100,"99,8","99,6","99,6","98,2",57,20,"31,9",1353,"12,5"
652,100,100,"99,2","87,7","54,7","40,3",32,5,"14,6",1690,"5,1"
653,100,"98,4",93,88,"63,9","51,8",46,17,18,1677,"11,8"
654,100,100,100,"99,7","98,5","96,2",63,28,"26,7",1369,"14,2"
655,100,100,"99,7","99,4","99,4",96,66,21,"28,5",1286,"9,9"
656,100,100,"99,9","99,2","98,1","95,8",60,18,"32,7",1371,13
657,100,100,100,"99,8","98,9","92,9",53,18,"30,6",1380,"17,3"
658,100,100,100,"98,8","93,3",84,54,15,"32,9",1408,"22,2"
659,100,"94,4","81,6","76,7","66,7","59,8",49,13,"17,4",1445,"2,9"
660,100,100,"99,9","99,3",98,"89,7",49,22,"27,3",1470,"18,8"
661,100,"99,7","98,4","97,8","96,8",95,76,24,"29,3",1364,"8,3"
662,100,100,"99,9","99,5","98,6","96,3",63,27,"34,4",1322,"14,5"
663,100,100,100,"99,8",99,"94,7",70,24,"32,6",1286,"7,3"
664,100,100,100,"99,9","99,4","99,2",81,28,38,1225,"11,5"
665,100,100,100,100,"99,4","95,7",71,23,"36,2",1240,"14,3"
666,100,100,100,"99,9","98,6","96,4",76,28,31,1392,"9,3"
667,100,100,100,"99,2","97,5","91,8",56,16,"29,1",1384,"15,7"
668,100,100,"98,6","95,2","83,8","67,9",45,14,"27,5",1452,"11,3"
669,100,100,100,"99,5","97,8","91,3",54,19,"29,7",1409,"15,3"
670,100,100,100,100,"99,7","93,9",56,20,37,1316,"11,1"
671,100,"99,9","99,6","95,2","83,9","70,8",52,13,"28,3",1507,"7,6"
672,100,100,100,100,98,"87,6",52,14,31,1417,"9,2"
673,100,100,100,"97,6","91,8","80,4",44,11,"21,4",1586,"16,9"
674,100,100,100,"98,2","95,3","87,8",50,7,"27,1",1526,"29,8"
675,100,100,"99,5","96,3",86,"74,1",48,14,"27,5",1534,"8,7"
676,100,100,100,"99,7","97,1","85,7",60,27,"22,2",1584,"6,1"
677,100,100,100,"99,7","98,8","88,7",58,21,"28,9",1533,"17,3"
678,100,100,100,"99,9","99,5","95,5",64,11,"35,7",1294,"19,7"
679,100,100,100,"99,3","93,9","80,5",46,15,"25,2",1618,"25,8"
680,100,100,100,"99,2","96,6","84,6",50,16,"24,8",1582,"19,2"
681,100,100,100,"99,9","99,6",88,58,15,"29,2",1474,"16,7"
682,100,"99,87","99,68","98,52","73,75","35,99","31,1","14,4","14,7",1806,"11,5"
683,100,"99,7","99,28","98,12",71,"35,2",31,"22,2","14,9",1780,"18,5"
684,100,100,"99,85","99,57","90,12","60,48","25,3","15,6",16,1796,13
685,100,"99,72","99,58","99,88","96,26","36,18","18,8","3,7",13,1913,"15,5"
686,100,"99,91","99,75","99,33","87,64","38,2","26,5","17,8","15,7",1734,"14,8"
687,100,100,"99,65","99,07","97,83","47,17",34,"15,2",18,1683,"20,4"
688,100,100,"99,79","98,93","92,77","42,74","23,6","11,4","15,4",1791,"13,7"
689,100,"99,59","98,41","96,98","69,76","34,7","29,4","23,6","21,3",1643,"11,4"
690,100,100,"99,93","99,74","93,31","42,43","32,1","25,6","22,1",1585,"10,8"
691,100,"99,24","98,46","97,57","63,7","38,38","47,4","36,9","30,2",1431,"21,5"
692,100,"99,13","96,76","92,72","62,8","36,15","48,2","37,6",30,1435,"11,3"
693,100,"98,02","94,77","90,38","64,51","34,54","39,5","26,4","24,5",1654,"17,9"
694,100,"96,57","92,38","87,32","60,64","31,55","47,8","37,4","25,6",1558,"11,5"
